cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
76158	0	non	78	91	0	na
76278	120	non	61	77	0	na
76398	120	noff	78	0	0	na
76398	0	noff	61	0	0	na
76398	0	non	73	84	0	na
76518	120	non	66	86	0	na
76638	120	noff	73	0	0	na
76638	0	noff	66	0	0	na
76758	120	non	66	80	0	na
76878	120	noff	66	0	0	na
76878	0	non	73	81	0	na
77118	240	noff	73	0	0	na
77118	0	non	78	87	0	na
77358	240	noff	78	0	0	na
77358	0	non	73	84	0	na
77598	240	noff	73	0	0	na
77838	240	non	61	88	0	na
77838	0	non	73	81	0	na
77958	120	noff	61	0	0	na
77958	0	non	66	100	0	na
78078	120	noff	73	0	0	na
78078	0	noff	66	0	0	na
78078	0	non	66	78	0	na
78078	0	non	78	84	0	na
78198	120	noff	66	0	0	na
78318	120	noff	78	0	0	na
78318	0	non	66	100	0	na
78318	0	non	81	88	0	na
78438	120	noff	66	0	0	na
78558	120	noff	81	0	0	na
78558	0	non	64	91	0	na
78558	0	non	80	84	0	na
78678	120	noff	64	0	0	na
78798	120	noff	80	0	0	na
78798	0	non	61	88	0	na
78798	0	non	81	88	0	na
78918	120	noff	61	0	0	na
79038	120	noff	81	0	0	na
79038	0	non	64	93	0	na
79038	0	non	83	95	0	na
79158	120	noff	64	0	0	na
79278	120	non	66	100	0	na
79398	120	noff	66	0	0	na
79398	0	non	68	102	0	na
79458	60	noff	83	0	0	na
79518	60	noff	68	0	0	na
79518	0	non	78	107	0	na
80238	720	noff	78	0	0	na
80238	0	non	76	100	0	na
80478	240	noff	76	0	0	na
80478	0	non	71	94	0	na
80838	360	noff	71	0	0	na
80838	0	non	73	100	0	na
81198	360	noff	73	0	0	na
81198	0	non	76	106	0	na
81438	240	noff	76	0	0	na
81438	0	non	78	108	0	na
81798	360	noff	78	0	0	na
81798	0	non	81	107	0	na
82158	360	noff	81	0	0	na
82158	0	non	80	105	0	na
82398	240	noff	80	0	0	na
82398	0	non	73	100	0	na
83118	720	noff	73	0	0	na
83118	0	non	78	99	0	na
83238	120	noff	78	0	0	na
83238	0	non	80	102	0	na
83358	120	noff	80	0	0	na
83358	0	non	81	108	0	na
83718	360	noff	81	0	0	na
83718	0	non	83	109	0	na
84078	360	noff	83	0	0	na
84078	0	non	81	110	0	na
84318	240	noff	81	0	0	na
84318	0	non	80	108	0	na
84678	360	noff	80	0	0	na
84678	0	non	77	102	0	na
85038	360	noff	77	0	0	na
85038	0	non	73	93	0	na
85278	240	noff	73	0	0	na
85278	0	non	80	100	0	na
85998	720	noff	80	0	0	na
85998	0	non	81	105	0	na
86238	240	noff	81	0	0	na
86238	0	non	81	98	0	na
86958	720	noff	81	0	0	na
86958	0	non	73	97	0	na
87078	120	noff	73	0	0	na
87078	0	non	76	100	0	na
87198	120	noff	76	0	0	na
87198	0	non	78	102	0	na
87918	720	noff	78	0	0	na
87918	0	non	76	100	0	na
88158	240	noff	76	0	0	na
88158	0	non	71	96	0	na
88518	360	noff	71	0	0	na
88518	0	non	73	101	0	na
88878	360	noff	73	0	0	na
88878	0	non	76	105	0	na
89118	240	noff	76	0	0	na
89118	0	non	78	105	0	na
89478	360	noff	78	0	0	na
89478	0	non	81	106	0	na
89838	360	noff	81	0	0	na
89838	0	non	80	107	0	na
90078	240	noff	80	0	0	na
90078	0	non	78	104	0	na
90798	720	noff	78	0	0	na
90798	0	non	78	101	0	na
90918	120	noff	78	0	0	na
90918	0	non	80	104	0	na
91038	120	noff	80	0	0	na
91038	0	non	81	108	0	na
91398	360	noff	81	0	0	na
91398	0	non	83	107	0	na
91758	360	noff	83	0	0	na
91758	0	non	81	108	0	na
91998	240	noff	81	0	0	na
91998	0	non	80	105	0	na
92358	360	noff	80	0	0	na
92358	0	non	77	101	0	na
92718	360	noff	77	0	0	na
92718	0	non	73	97	0	na
92958	240	noff	73	0	0	na
92958	0	non	78	94	0	na
94818	1860	noff	78	0	0	na
94878	60	non	78	107	0	na
